id,label
1,1
2,5
3,6
4,2
5,4
6,4
7,2
8,2
9,1
10,8
11,0
12,2
13,7
14,0
15,1
16,9
17,4
18,1
19,9
20,5
21,2
22,9
23,7
24,4
25,1
26,9
27,8
28,1
29,4
30,1
31,5
32,7
33,6
34,7
35,4
36,2
37,3
38,4
39,1
40,8
41,8
42,8
43,6
44,7
45,3
46,2
47,7
48,5
49,7
50,9
51,1
52,9
53,0
54,0
55,6
56,1
57,9
58,5
59,6
60,1
61,1
62,6
63,2
64,1
65,1
66,9
67,1
68,4
69,3
70,8
71,7
72,9
73,8
74,1
75,4
76,7
77,9
78,5
79,9
80,3
81,3
82,0
83,9
84,2
85,3
86,0
87,0
88,4
89,9
90,9
91,1
92,8
93,6
94,8
95,7
96,7
97,0
98,5
99,9
100,0
101,7
102,0
103,0
104,4
105,9
106,7
107,4
108,9
109,4
110,4
111,1
112,5
113,7
114,7
115,5
116,4
117,3
118,3
119,8
120,9
121,0
122,7
123,9
124,4
125,7
126,7
127,1
128,3
129,6
130,0
131,9
132,8
133,1
134,2
135,5
136,6
137,9
138,3
139,2
140,5
141,8
142,5
143,6
144,9
145,2
146,9
147,5
148,3
149,7
150,6
151,3
152,2
153,3
154,5
155,5
156,5
157,1
158,5
159,2
160,9
161,6
162,2
163,3
164,9
165,9
166,1
167,6
168,1
169,7
170,6
171,7
172,4
173,3
174,1
175,3
176,8
177,1
178,5
179,5
180,4
181,3
182,0
183,8
184,8
185,8
186,9
187,9
188,4
189,6
190,2
191,3
192,4
193,9
194,5
195,7
196,5
197,5
198,7
199,5
200,4
201,3
202,7
203,9
204,2
205,5
206,3
207,3
208,2
209,1
210,2
211,0
212,1
213,2
214,8
215,5
216,5
217,9
218,9
219,9
220,3
221,7
222,0
223,4
224,7
225,7
226,0
227,6
228,3
229,9
230,6
231,8
232,1
233,5
234,0
235,8
236,1
237,0
238,8
239,8
240,7
241,4
242,0
243,4
244,0
245,5
246,1
247,2
248,6
249,1
250,3
251,1
252,7
253,1
254,2
255,4
256,3
257,2
258,4
259,6
260,7
261,2
262,9
263,4
264,5
265,8
266,1
267,9
268,2
269,2
270,4
271,2
272,8
273,2
274,6
275,6
276,1
277,9
278,1
279,0
280,7
281,8
282,0
283,1
284,8
285,2
286,3
287,1
288,7
289,7
290,5
291,2
292,9
293,8
294,8
295,3
296,6
297,0
298,0
299,0
300,9
301,9
302,3
303,5
304,7
305,1
306,2
307,8
308,9
309,8
310,3
311,1
312,3
313,1
314,5
315,7
316,7
317,0
318,7
319,7
320,4
321,9
322,1
323,8
324,3
325,8
326,7
327,8
328,7
329,7
330,4
331,3
332,8
333,2
334,7
335,7
336,4
337,7
338,4
339,6
340,7
341,5
342,5
343,1
344,7
345,2
346,9
347,7
348,5
349,7
350,3
351,5
352,1
353,2
354,5
355,6
356,4
357,3
358,3
359,1
360,8
361,5
362,3
363,5
364,7
365,6
366,3
367,3
368,7
369,0
370,3
371,3
372,0
373,1
374,8
375,0
376,0
377,6
378,3
379,5
380,4
381,3
382,6
383,2
384,6
385,0
386,5
387,5
388,3
389,9
390,3
391,2
392,1
393,4
394,7
395,8
396,4
397,7
398,8
399,9
400,3
401,9
402,2
403,8
404,5
405,1
406,8
407,6
408,9
409,7
410,4
411,5
412,4
413,6
414,5
415,3
416,7
417,0
418,5
419,6
420,9
421,3
422,1
423,4
424,7
425,9
426,4
427,0
428,4
429,2
430,0
431,2
432,1
433,4
434,6
435,9
436,5
437,0
438,4
439,4
440,4
441,4
442,7
443,4
444,5
445,6
446,5
447,0
448,5
449,7
450,6
451,1
452,3
453,9
454,2
455,8
456,1
457,7
458,5
459,6
460,6
461,6
462,6
463,1
464,7
465,7
466,7
467,6
468,8
469,1
470,0
471,0
472,0
473,9
474,7
475,2
476,1
477,5
478,4
479,4
480,9
481,4
482,6
483,6
484,5
485,7
486,4
487,9
488,6
489,9
490,4
491,7
492,2
493,2
494,4
495,2
496,6
497,2
498,6
499,8
500,7
501,3
502,7
503,8
504,4
505,3
506,2
507,0
508,2
509,3
510,5
511,8
512,6
513,4
514,0
515,1
516,4
517,4
518,6
519,7
520,9
521,3
522,1
523,2
524,4
525,6
526,8
527,0
528,4
529,1
530,7
531,4
532,9
533,8
534,6
535,2
536,8
537,5
538,9
539,4
540,4
541,4
542,4
543,1
544,3
545,2
546,0
547,6
548,3
549,8
550,5
551,4
552,3
553,6
554,6
555,3
556,4
557,1
558,2
559,1
560,0
561,7
562,1
563,7
564,2
565,2
566,1
567,9
568,2
569,7
570,1
571,2
572,1
573,3
574,2
575,5
576,9
577,7
578,2
579,1
580,0
581,8
582,0
583,8
584,2
585,0
586,1
587,1
588,4
589,4
590,1
591,6
592,7
593,4
594,1
595,5
596,8
597,3
598,9
599,0
600,0
601,9
602,4
603,7
604,6
605,7
606,3
607,7
608,2
609,8
610,0
611,5
612,3
613,6
614,8
615,3
616,3
617,9
618,7
619,0
620,5
621,5
622,9
623,7
624,9
625,0
626,7
627,4
628,6
629,2
630,4
631,0
632,7
633,1
634,0
635,0
636,9
637,4
638,0
639,2
640,7
641,7
642,9
643,6
644,9
645,7
646,3
647,7
648,8
649,6
650,3
651,1
652,5
653,4
654,1
655,4
656,2
657,1
658,1
659,6
660,6
661,4
662,5
663,5
664,1
665,1
666,1
667,7
668,2
669,0
670,9
671,6
672,3
673,5
674,7
675,6
676,0
677,2
678,0
679,1
680,8
681,5
682,6
683,8
684,9
685,4
686,2
687,8
688,0
689,8
690,0
691,7
692,5
693,8
694,6
695,0
696,4
697,2
698,5
699,3
700,7
701,0
702,2
703,1
704,8
705,7
706,3
707,9
708,7
709,9
710,0
711,8
712,7
713,0
714,1
715,3
716,3
717,0
718,1
719,6
720,0
721,1
722,3
723,7
724,6
725,4
726,3
727,1
728,8
729,2
730,5
731,5
732,3
733,9
734,7
735,8
736,3
737,0
738,6
739,8
740,7
741,3
742,4
743,0
744,9
745,0
746,6
747,8
748,0
749,3
750,7
751,0
752,1
753,4
754,5
755,9
756,2
757,3
758,5
759,2
760,3
761,6
762,0
763,8
764,3
765,5
766,7
767,1
768,0
769,2
770,9
771,6
772,7
773,4
774,3
775,6
776,9
777,7
778,7
779,1
780,3
781,4
782,7
783,0
784,1
785,2
786,1
787,2
788,6
789,2
790,3
791,6
792,7
793,6
794,8
795,3
796,4
797,5
798,4
799,7
800,8
801,7
802,4
803,6
804,0
805,5
806,6
807,6
808,9
809,2
810,1
811,5
812,1
813,3
814,2
815,3
816,0
817,9
818,8
819,3
820,7
821,0
822,5
823,7
824,5
825,0
826,1
827,3
828,6
829,4
830,5
831,3
832,8
833,4
834,6
835,2
836,3
837,9
838,3
839,1
840,9
841,5
842,5
843,7
844,2
845,4
846,1
847,3
848,8
849,1
850,6
851,4
852,1
853,8
854,4
855,3
856,2
857,0
858,7
859,5
860,8
861,8
862,9
863,0
864,4
865,3
866,1
867,8
868,1
869,2
870,5
871,9
872,3
873,1
874,5
875,7
876,1
877,9
878,6
879,5
880,4
881,0
882,2
883,4
884,1
885,5
886,2
887,7
888,3
889,7
890,5
891,4
892,4
893,1
894,9
895,1
896,2
897,3
898,6
899,2
900,5
901,1
902,9
903,1
904,7
905,6
906,9
907,9
908,5
909,1
910,3
911,3
912,4
913,0
914,1
915,2
916,1
917,5
918,9
919,1
920,1
921,6
922,3
923,3
924,9
925,3
926,0
927,5
928,9
929,0
930,4
931,4
932,1
933,0
934,5
935,3
936,9
937,3
938,3
939,3
940,8
941,8
942,5
943,1
944,4
945,0
946,8
947,7
948,5
949,6
950,2
951,4
952,8
953,8
954,8
955,0
956,3
957,7
958,5
959,9
960,8
961,0
962,0
963,4
964,4
965,2
966,7
967,6
968,1
969,1
970,6
971,8
972,2
973,5
974,3
975,1
976,9
977,9
978,4
979,8
980,9
981,2
982,4
983,7
984,5
985,9
986,6
987,2
988,2
989,9
990,3
991,0
992,7
993,0
994,0
995,1
996,9
997,0
998,9
999,8
1000,9
1001,7
1002,1
1003,8
1004,2
1005,8
1006,2
1007,4
1008,2
1009,3
1010,5
1011,1
1012,7
1013,2
1014,0
1015,0
1016,0
1017,1
1018,8
1019,8
1020,0
1021,0
1022,5
1023,2
1024,7
1025,5
1026,1
1027,0
1028,2
1029,3
1030,2
1031,0
1032,9
1033,1
1034,4
1035,4
1036,0
1037,2
1038,9
1039,8
1040,5
1041,3
1042,3
1043,7
1044,7
1045,6
1046,5
1047,7
1048,3
1049,1
1050,1
1051,7
1052,0
1053,6
1054,8
1055,0
1056,7
1057,8
1058,2
1059,7
1060,7
1061,1
1062,0
1063,6
1064,5
